,UNC_YEAR,HSCD,COUNTRYCD,COUNTRYNM,TRADE_COUNTRYCD,TRADE_HSCD,TARIFF_AVG,SNDIST,NY_GDP_MKTP_CD,NY_GDP_MKTP_CD_1Y,SP_POP_TOTL,PA_NUS_FCRF,IC_BUS_EASE_DFRN_DB,KMDIST,TRADE_HSCD_COUNTRYCD,KR_TRADE_HSCD_COUNTRYCD
132,2017,591190,76,Brazil,150749000000.0,2469927278.0,26.0,10359.41382,2062830000000.0,1795700000000.0,207833831,3.191389446,55.38240333,18364.50586,16022849.0,400229
133,2017,591190,104,Myanmar,19253441935.0,2469927278.0,1.0,5514.157445,68945867478.0,67184236747.0,53382581,1360.358707,42.67139,3796.142578,931966.0,1982
134,2017,591190,124,Canada,432405000000.0,2469927278.0,0.0,7738.826043,1649880000000.0,1528240000000.0,36543321,1.297935846,79.54094,10617.70313,75354740.0,61851
135,2017,591190,144,Sri Lanka,21316172076.0,2469927278.0,0.0,7223.643864,87428125558.0,82401038710.0,21444000,152.4464139,59.82373,5840.512695,2569376.0,306
136,2017,591190,152,Chile,65257236198.0,2469927278.0,0.0,10991.43896,277045000000.0,250440000000.0,18470439,648.8337926,71.58185,18375.18164,17013842.0,25918
137,2017,591190,156,China,1843790000000.0,2469927278.0,6.0,6785.602904,12310400000000.0,11233300000000.0,1386395000,6.758755086,64.63936,955.651062,232647924.0,40497198
138,2017,591190,203,Czechia,162899000000.0,2469927278.0,0.0,3636.862626,218629000000.0,196272000000.0,10594438,23.37633333,76.38834,8262.0625,30510123.0,233610
141,2017,591190,320,Guatemala,18377914375.0,2469927278.0,0.0,7718.324586,71612352645.0,66053725049.0,16087418,7.34793875,61.95631,13029.69238,1495418.0,396
142,2017,591190,344,"China, Hong Kong SAR",589317000000.0,2469927278.0,0.0,6879.105037,341244000000.0,320838000000.0,7391700,7.79325,84.76059,2095.842529,43752191.0,1324056
143,2017,591190,360,Indonesia,156925000000.0,2469927278.0,0.0,8491.669584,1015620000000.0,931877000000.0,264645886,13380.83388,64.52893333,5291.683594,39543068.0,3251694
144,2017,591190,364,Iran,51612276867.0,2469927278.0,5.0,3841.907808,445345000000.0,417984000000.0,80673951,33226.29815,55.70786,6562.448242,8271567.0,100804
146,2017,591190,392,Japan,671474000000.0,2469927278.0,2.5,7519.85047,4866860000000.0,4922540000000.0,126785797,112.1661411,78.02069667,1156.669556,121097957.0,9432152
147,2017,591190,398,Kazakhstan,29345907738.0,2469927278.0,5.0,4883.055142,166806000000.0,137278000000.0,18037776,326.0010227,74.84879,4227.771973,13953290.0,21401
148,2017,591190,414,Kuwait,33568329846.0,2469927278.0,5.0,5185.053438,120707000000.0,109420000000.0,4056099,0.303349758,59.96924,7181.024902,4922471.0,40300
149,2017,591190,458,Malaysia,194720000000.0,2469927278.0,0.0,8648.420764,319112000000.0,301255000000.0,31105028,4.300440878,78.27291,4614.067383,20191572.0,136056
150,2017,591190,484,Mexico,420369000000.0,2469927278.0,7.5,9007.56988,1158910000000.0,1078490000000.0,124777324,18.92651667,73.39408333,12066.00781,170026382.0,14344992
151,2017,591190,496,Mongolia,4337305039.0,2469927278.0,5.0,5921.807198,11425755280.0,11186734674.0,3113779,2439.777201,66.1351,2003.103271,227495.0,2516
153,2017,591190,554,New Zealand,40128397719.0,2469927278.0,1.0,13865.20639,205416000000.0,188224000000.0,4793900,1.407408333,87.16633,10293.83691,8062593.0,57000
154,2017,591190,579,Norway,85525812090.0,2469927278.0,0.0,4336.715512,398394000000.0,368820000000.0,5276968,8.271666667,82.35614,7730.766602,12112345.0,5146
155,2017,591190,604,Peru,39763884637.0,2469927278.0,0.0,10283.84919,211007000000.0,191896000000.0,31444297,3.260488491,67.5175,16329.76465,9509101.0,102203
156,2017,591190,608,Philippines,101889000000.0,2469927278.0,0.0,8091.338198,328481000000.0,318627000000.0,105173264,50.40371979,59.25872,2615.750732,10801637.0,190938
157,2017,591190,616,Poland,217979000000.0,2469927278.0,0.0,3636.862878,526509000000.0,472630000000.0,37974826,3.779333333,77.68044,7753.967285,33372875.0,1037379
158,2017,591190,643,Russian Federation,228213000000.0,2469927278.0,5.0,3901.499179,1574200000000.0,1276790000000.0,144496740,58.34280119,75.21312667,6614.064453,48710094.0,596410
159,2017,591190,682,Saudi Arabia,134519000000.0,2469927278.0,5.0,4124.3371,688586000000.0,644936000000.0,33099147,3.75,59.44422,7557.271973,20506591.0,308086
160,2017,591190,699,India,444052000000.0,2469927278.0,10.0,6167.377606,2652750000000.0,2294800000000.0,1338658835,65.12156865,55.90158667,4692.671875,41876524.0,368442
161,2017,591190,702,Singapore,327710000000.0,2469927278.0,0.0,8789.166957,341863000000.0,318652000000.0,5612253,1.380925,85.44138,4676.682617,23136979.0,577013
162,2017,591190,704,Viet Nam,213215000000.0,2469927278.0,0.0,7032.622922,223780000000.0,205276000000.0,94596642,22370.08667,65.28861,2740.135254,66425657.0,2981441
163,2017,591190,710,South Africa,83030698712.0,2469927278.0,10.0,8169.026631,349554000000.0,296357000000.0,57000451,13.32380142,65.40686,13723.41309,21402082.0,8311
165,2017,591190,757,Switzerland,267501000000.0,2469927278.0,0.0,3818.346501,679950000000.0,671309000000.0,8451840,0.984691667,76.42092,8878.165039,30617625.0,43379
166,2017,591190,784,United Arab Emirates,270955000000.0,2469927278.0,5.0,5539.106132,385606000000.0,357045000000.0,9487203,3.6725,77.43435,6909.236328,18063118.0,164778
167,2017,591190,792,Turkey,233800000000.0,2469927278.0,0.0,4352.060145,858989000000.0,869683000000.0,81101892,3.648132635,69.37882,7967.700684,29993797.0,311166
168,2017,591190,818,Egypt,66338749061.0,2469927278.0,5.0,4399.871622,235734000000.0,332442000000.0,96442593,17.78253352,55.47428,8497.368164,4494312.0,1650060
169,2017,591190,826,United Kingdom,641332000000.0,2469927278.0,0.0,4354.732563,2666230000000.0,2694280000000.0,66058859,0.776976682,83.34108,8875.389648,45404536.0,30155
170,2017,591190,842,USA,2405280000000.0,2469927278.0,0.0,7929.95526,19519400000000.0,18715000000000.0,324985539,1.0,83.35255333,11065.70215,422656472.0,1381996
171,2017,590390,36,Australia,228442000000.0,3688000720.0,0.0,10999.82917,1329190000000.0,1208850000000.0,24601860,1.304758077,80.22369,8329.652344,49249665.0,13823887
174,2017,590390,76,Brazil,150749000000.0,3688000720.0,26.0,9304.928955,2062830000000.0,1795700000000.0,207833831,3.191389446,55.38240333,18364.50586,19629521.0,361848
175,2017,590390,104,Myanmar,19253441935.0,3688000720.0,4.0,4730.885305,68945867478.0,67184236747.0,53382581,1360.358707,42.67139,3796.142578,11344544.0,779
176,2017,590390,124,Canada,432405000000.0,3688000720.0,0.0,8480.495431,1649880000000.0,1528240000000.0,36543321,1.297935846,79.54094,10617.70313,66928277.0,2979342
177,2017,590390,144,Sri Lanka,21316172076.0,3688000720.0,1.1,6171.241933,87428125558.0,82401038710.0,21444000,152.4464139,59.82373,5840.512695,17788297.0,313363
178,2017,590390,152,Chile,65257236198.0,3688000720.0,0.0,10930.03879,277045000000.0,250440000000.0,18470439,648.8337926,71.58185,18375.18164,7635264.0,119771
179,2017,590390,156,China,1843790000000.0,3688000720.0,4.7,6414.302852,12310400000000.0,11233300000000.0,1386395000,6.758755086,64.63936,955.651062,258921017.0,43114595
180,2017,590390,203,Czechia,162899000000.0,3688000720.0,0.0,3054.173564,218629000000.0,196272000000.0,10594438,23.37633333,76.38834,8262.0625,43834511.0,18836
183,2017,590390,320,Guatemala,18377914375.0,3688000720.0,7.5,6786.788802,71612352645.0,66053725049.0,16087418,7.34793875,61.95631,13029.69238,6245589.0,219290
184,2017,590390,344,"China, Hong Kong SAR",589317000000.0,3688000720.0,0.0,6747.988783,341244000000.0,320838000000.0,7391700,7.79325,84.76059,2095.842529,211780801.0,1249642
185,2017,590390,360,Indonesia,156925000000.0,3688000720.0,0.0,7447.308206,1015620000000.0,931877000000.0,264645886,13380.83388,64.52893333,5291.683594,55279287.0,6591749
186,2017,590390,364,Iran,51612276867.0,3688000720.0,11.8,2748.213217,445345000000.0,417984000000.0,80673951,33226.29815,55.70786,6562.448242,90759029.0,22451
188,2017,590390,392,Japan,671474000000.0,3688000720.0,3.5,7395.650024,4866860000000.0,4922540000000.0,126785797,112.1661411,78.02069667,1156.669556,48238890.0,4704738
189,2017,590390,398,Kazakhstan,29345907738.0,3688000720.0,5.0,4085.036783,166806000000.0,137278000000.0,18037776,326.0010227,74.84879,4227.771973,2624460.0,13823
190,2017,590390,414,Kuwait,33568329846.0,3688000720.0,5.0,4953.149089,120707000000.0,109420000000.0,4056099,0.303349758,59.96924,7181.024902,2424741.0,93127
191,2017,590390,458,Malaysia,194720000000.0,3688000720.0,0.0,6637.090064,319112000000.0,301255000000.0,31105028,4.300440878,78.27291,4614.067383,15778627.0,504058
192,2017,590390,484,Mexico,420369000000.0,3688000720.0,10.0,9122.423248,1158910000000.0,1078490000000.0,124777324,18.92651667,73.39408333,12066.00781,331564178.0,2805637
193,2017,590390,496,Mongolia,4337305039.0,3688000720.0,5.0,3935.936707,11425755280.0,11186734674.0,3113779,2439.777201,66.1351,2003.103271,487632.0,70741
195,2017,590390,554,New Zealand,40128397719.0,3688000720.0,0.0,13119.2974,205416000000.0,188224000000.0,4793900,1.407408333,87.16633,10293.83691,9059865.0,134716
196,2017,590390,579,Norway,85525812090.0,3688000720.0,0.0,2932.346585,398394000000.0,368820000000.0,5276968,8.271666667,82.35614,7730.766602,2298979.0,55137
197,2017,590390,604,Peru,39763884637.0,3688000720.0,3.4,9467.497558,211007000000.0,191896000000.0,31444297,3.260488491,67.5175,16329.76465,13062509.0,108271
198,2017,590390,608,Philippines,101889000000.0,3688000720.0,5.0,5941.038493,328481000000.0,318627000000.0,105173264,50.40371979,59.25872,2615.750732,19367652.0,2991546
199,2017,590390,616,Poland,217979000000.0,3688000720.0,0.0,3269.067897,526509000000.0,472630000000.0,37974826,3.779333333,77.68044,7753.967285,90189777.0,544771
